tech_number,number,name,years_life,years_from,years_to,description,detail_link,img_link
56,34,Мстислав Романович,? -1223,1212,1223,"Князь всея Руси, князь смоленский.",https://www.runivers.ru/doc/rusland/knyaz1/577145/,
57,35,Владимир Рюрикович,? -1239,1223,1236,"Князь всея Руси, князь смоленский.",https://www.runivers.ru/doc/rusland/knyaz1/577157/,
58,36,Ярослав Всеволодич,1190 - 1246,1236,1238,"Князь всея Руси, великий князь суздальский
",https://www.runivers.ru/doc/rusland/knyaz1/577170/,
59,37,Михаил Всеволодич,? - 1246,1238,1239,"Князь всея Руси, князь черниговский.",https://www.runivers.ru/doc/rusland/knyaz1/577206/,
60,38,Даниил Романович,1201-1264,1240,1240,"Князь всея Руси, князь волынский и галицкий.",https://www.runivers.ru/doc/rusland/knyaz1/577234/,
61,36,Ярослав Всеволодич,1190 - 1246,1243,1246,"Князь всея Руси, великий князь владимирский.",https://www.runivers.ru/doc/rusland/knyaz1/577170/,
62,39,Александр Ярославич Невский,1221-1263,1249,1263,"Князь всея Руси, князь новгородский.",https://www.runivers.ru/doc/rusland/knyaz1/577266/,
63,40,Ярослав Ярославич,? -1271,1264,1271,"Князь всея Руси, великий князь владимирский, князь тверской.",https://www.runivers.ru/doc/rusland/knyaz1/577282/,
64,41,Василий Ярославич,1241-1277,1272,1276,"Князь всея Руси, великий князь владимирский князь костромской",https://www.runivers.ru/doc/rusland/knyaz1/577292/,
65,42,Дмитрий Александрович,? -1294,1277,1281,"Князь всея Руси, великий князь владимирский, князь переяславский.",https://www.runivers.ru/doc/rusland/knyaz1/577302/,
66,43,Андрей Александрович,? -1304,1281,1283,"Князь всея Руси, великий князь суздальский, князь городецкий",https://www.runivers.ru/doc/rusland/knyaz1/577324/,
67,42,Дмитрий Александрович,? -1294,1283,1294,"Князь всея Руси, великий князь владимирский, князь переяславский.",https://www.runivers.ru/doc/rusland/knyaz1/577302/,
68,43,Андрей Александрович,? -1304,1294,1304,"Князь всея Руси, великий князь владимирский, князь городецкий.",https://www.runivers.ru/doc/rusland/knyaz1/577324/,
